Country,Total_inventorie,Year,GreenInventory
Cyprus,14520000,2010,300000
Denmark,160200000,2010,5340000
Finland,219120000,2010,4980000
France,843120000,2010,25620000
Germany,5179440000,2010,160800000
Ireland,6540000,2010,240000
Italy,523440000,2010,19560000
Netherlands,1418460000,2010,42420000
Portugal,221460000,2010,6060000
Spain,865440000,2010,34200000
Sweden,156600000,2010,5220000
Japan,3369300000,2010,105300000
Norway,223200000,2010,7440000
Switzerland,398100000,2010,9240000
United Kingdom,186120000,2010,2820000
United States of America,8984400000,2010,238440000
Unspecified EU stocks,9457860000,2010,399960000
Austria,306660000,2011,6660000
Cyprus,14520000,2011,360000
Denmark,160200000,2011,5340000
Finland,219120000,2011,4980000
France,843120000,2011,24840000
Germany,5179440000,2011,147720000
Ireland,6540000,2011,360000
Italy,523440000,2011,19740000
Netherlands,1418460000,2011,42420000
Portugal,221460000,2011,5400000
Spain,865440000,2011,34200000
Sweden,156600000,2011,5220000
Japan,3369300000,2011,132240000
Norway,223200000,2011,7440000
Switzerland,398100000,2011,12180000
United Kingdom,186120000,2011,2460000
United States of America,8984400000,2011,257700000
Unspecified EU stocks,9457860000,2011,409680000
Austria,306660000,2012,5820000
Cyprus,14520000,2012,240000
Denmark,160200000,2012,5340000
Finland,219120000,2012,4980000
France,843120000,2012,26760000
Germany,5179440000,2012,171540000
Ireland,6540000,2012,420000
Italy,523440000,2012,20760000
Netherlands,1418460000,2012,42420000
Portugal,221460000,2012,6600000
Spain,865440000,2012,34200000
Sweden,156600000,2012,5220000
Japan,3369300000,2012,121620000
Norway,223200000,2012,7440000
Switzerland,398100000,2012,12540000
United Kingdom,186120000,2012,2460000
United States of America,8984400000,2012,284160000
Unspecified EU stocks,9457860000,2012,366720000
Austria,306660000,2013,5520000
Cyprus,14520000,2013,420000
Denmark,160200000,2013,5340000
Finland,219120000,2013,4980000
France,843120000,2013,26280000
Germany,5179440000,2013,158160000
Ireland,6540000,2013,360000
Italy,523440000,2013,21120000
Netherlands,1418460000,2013,42420000
Portugal,221460000,2013,7200000
Spain,865440000,2013,50220000
Sweden,156600000,2013,5220000
Japan,3369300000,2013,172860000
Norway,223200000,2013,7440000
Switzerland,398100000,2013,12360000
United Kingdom,186120000,2013,2340000
United States of America,8984400000,2013,305220000
Unspecified EU stocks,9457860000,2013,320160000
Austria,306660000,2014,5760000
Cyprus,14520000,2014,720000
Denmark,160200000,2014,5340000
Finland,219120000,2014,4980000
France,843120000,2014,29940000
Germany,5179440000,2014,187200000
Ireland,6540000,2014,360000
Italy,523440000,2014,22260000
Netherlands,1418460000,2014,42420000
Portugal,221460000,2014,6000000
Spain,865440000,2014,38400000
Sweden,156600000,2014,5220000
Japan,3369300000,2014,176040000
Norway,223200000,2014,7440000
Switzerland,398100000,2014,12360000
United Kingdom,186120000,2014,2400000
United States of America,8984400000,2014,331500000
Unspecified EU stocks,9457860000,2014,450060000
Austria,306660000,2015,5760000
Cyprus,14520000,2015,360000
Denmark,160200000,2015,5340000
Finland,219120000,2015,4980000
France,843120000,2015,30420000
Germany,5179440000,2015,211140000
Ireland,6540000,2015,240000
Italy,523440000,2015,22200000
Netherlands,1418460000,2015,42420000
Portugal,221460000,2015,7740000
Spain,865440000,2015,38220000
Sweden,156600000,2015,5220000
Japan,3369300000,2015,191100000
Norway,223200000,2015,7440000
Switzerland,398100000,2015,13020000
United Kingdom,186120000,2015,2580000
United States of America,8984400000,2015,350160000
Unspecified EU stocks,9457860000,2015,447840000
Austria,306660000,2016,5400000
Cyprus,14520000,2016,120000
Denmark,160200000,2016,5340000
Finland,219120000,2016,4980000
France,843120000,2016,34320000
Germany,5179440000,2016,239460000
Ireland,6540000,2016,240000
Italy,523440000,2016,24180000
Netherlands,1418460000,2016,42420000
Portugal,221460000,2016,7740000
Spain,865440000,2016,44040000
Sweden,156600000,2016,5220000
Japan,3369300000,2016,193740000
Norway,223200000,2016,7440000
Switzerland,398100000,2016,13140000
United Kingdom,186120000,2016,1560000
United States of America,8984400000,2016,375360000
Unspecified EU stocks,9457860000,2016,417240000
Austria,306660000,2017,4800000
Cyprus,14520000,2017,180000
Denmark,160200000,2017,5340000
Finland,219120000,2017,4980000
France,843120000,2017,28500000
Germany,5179440000,2017,216060000
Ireland,6540000,2017,180000
Italy,523440000,2017,23760000
Netherlands,1418460000,2017,42420000
Portugal,221460000,2017,7740000
Spain,865440000,2017,43380000
Sweden,156600000,2017,5220000
Japan,3369300000,2017,181260000
Norway,223200000,2017,7440000
Switzerland,398100000,2017,22080000
United Kingdom,186120000,2017,1200000
United States of America,8984400000,2017,397920000
