Country,Year,DomesticType,ProductionType,DomesticConsumption,Production,Export,Import,ImporterConsumption,GreenInventory,ReExport
Brazil,1993,Arabica/Robusta,Arabica/Robusta,546000000,1690020000,1070280000,NULL,NULL,NULL,NULL
Brazil,1993,Arabica/Robusta,Arabica/Robusta,546000000,1690020000,1070280000,NULL,NULL,NULL,NULL
Brazil,1993,Arabica/Robusta,Arabica/Robusta,546000000,1690020000,1070280000,NULL,NULL,NULL,NULL
Brazil,1993,Arabica/Robusta,Arabica/Robusta,546000000,1690020000,1070280000,NULL,NULL,NULL,NULL
Brazil,1993,Arabica/Robusta,Arabica/Robusta,546000000,1690020000,1070280000,NULL,NULL,NULL,NULL
Burundi,1993,Arabica/Robusta,Arabica/Robusta,114600,23580000,25080000,NULL,NULL,NULL,NULL
Burundi,1993,Arabica/Robusta,Arabica/Robusta,114600,23580000,25080000,NULL,NULL,NULL,NULL
Burundi,1993,Arabica/Robusta,Arabica/Robusta,114600,23580000,25080000,NULL,NULL,NULL,NULL
Burundi,1993,Arabica/Robusta,Arabica/Robusta,114600,23580000,25080000,NULL,NULL,NULL,NULL
Burundi,1993,Arabica/Robusta,Arabica/Robusta,114600,23580000,25080000,NULL,NULL,NULL,NULL
Burundi,1993,Arabica/Robusta,Arabica/Robusta,114600,23580000,25080000,NULL,NULL,NULL,NULL
Burundi,1993,Arabica/Robusta,Arabica/Robusta,114600,23580000,25080000,NULL,NULL,NULL,NULL
Burundi,1993,Arabica/Robusta,Arabica/Robusta,114600,23580000,25080000,NULL,NULL,NULL,NULL
Burundi,1993,Arabica/Robusta,Arabica/Robusta,114600,23580000,25080000,NULL,NULL,NULL,NULL
Burundi,1993,Arabica/Robusta,Arabica/Robusta,114600,23580000,25080000,NULL,NULL,NULL,NULL
Burundi,1993,Arabica/Robusta,Arabica/Robusta,114600,23580000,25080000,NULL,NULL,NULL,NULL
Burundi,1993,Arabica/Robusta,Arabica/Robusta,114600,23580000,25080000,NULL,NULL,NULL,NULL
